Comparable zpid,Comparable Sale Price,Bedrooms,Bathrooms Comparable,LotSize Comparable,YearBuilt Comparable,AI_Estimated_Value,Estimation_Diff
11429293,216000,3,2,9387,1957,230000.0,14000.0
11468456,205000,3,2,6000,1957,180000.0,-25000.0
11469598,207000,3,2,6695,1958,230000.0,23000.0
11546644,215000,3,3,8450,1958,275000.0,60000.0
11546655,230000,3,2,8925,1960,220000.0,-10000.0
11313926,220000,3,2,7801,1959,230000.0,10000.0
11314333,283000,3,2,8537,1964,230000.0,-53000.0
11361144,206000,3,1,6250,1955,180000.0,-26000.0
11361174,210000,3,2,6250,1955,180000.0,-30000.0
11361531,265000,3,2,6600,1955,230000.0,-35000.0
11451104,128000,3,2,8720,1956,220000.0,92000.0
11454004,150000,3,2,6333,1950,220000.0,70000.0
11531687,153000,3,2,6629,1957,230000.0,77000.0
11533221,137000,3,2,6037,1951,230000.0,93000.0
11568310,172500,3,2,6525,1956,230000.0,57500.0
11417369,180000,3,1,6000,1937,180000.0,0.0
11417380,207000,3,2,6263,1945,220000.0,13000.0
11450560,175000,3,2,7501,1955,220000.0,45000.0
11450565,185000,3,2,7500,1951,180000.0,-5000.0
11416654,193000,3,2,8293,1958,220000.0,27000.0
11417249,225000,3,2,7679,1940,230000.0,5000.0
11491967,175000,3,2,8842,1960,230000.0,55000.0
11567603,190000,3,2,8690,1965,230000.0,40000.0
11567641,171778,3,2,8472,1965,230000.0,58222.0
11569216,160000,3,1,8001,1960,180000.0,20000.0
11393043,208000,3,2,7200,1946,180000.0,-28000.0
11469604,172000,3,2,7701,1955,230000.0,58000.0
11470612,215500,3,2,6969,1955,180000.0,-35500.0
11547219,243500,3,2,7692,1953,180000.0,-63500.0
11430023,192000,3,2,5998,1948,220000.0,28000.0
11468456,205000,3,2,6000,1957,230000.0,25000.0
11469391,195000,3,1,5998,1949,180000.0,-15000.0
11469598,207000,3,2,6695,1958,230000.0,23000.0
11444819,201000,3,2,3001,1945,180000.0,-21000.0
11655904,250000,3,2,4356,1925,180000.0,-70000.0
11656680,259900,3,1,3301,1950,180000.0,-79900.0
11656809,249900,3,1,3301,1925,180000.0,-69900.0
11656818,278000,3,2,3301,1925,180000.0,-98000.0
