Comparable zpid,Comparable Sale Price,Bedrooms,Bathrooms Comparable,LotSize Comparable,YearBuilt Comparable
11429293,216000,3,2,9387,1957
11468456,205000,3,2,6000,1957
11469598,207000,3,2,6695,1958
11546644,215000,3,3,8450,1958
11546655,230000,3,2,8925,1960
11313926,220000,3,2,7801,1959
11314333,283000,3,2,8537,1964
11361144,206000,3,1,6250,1955
11361174,210000,3,2,6250,1955
11361531,265000,3,2,6600,1955
11451104,128000,3,2,8720,1956
11454004,150000,3,2,6333,1950
11531687,153000,3,2,6629,1957
11533221,137000,3,2,6037,1951
11568310,172500,3,2,6525,1956
11417369,180000,3,1,6000,1937
11417380,207000,3,2,6263,1945
11450560,175000,3,2,7501,1955
11450565,185000,3,2,7500,1951
11416654,193000,3,2,8293,1958
11417249,225000,3,2,7679,1940
11491967,175000,3,2,8842,1960
11567603,190000,3,2,8690,1965
11567641,171778,3,2,8472,1965
11569216,160000,3,1,8001,1960
11393043,208000,3,2,7200,1946
11469604,172000,3,2,7701,1955
11470612,215500,3,2,6969,1955
11547219,243500,3,2,7692,1953
11430023,192000,3,2,5998,1948
11468456,205000,3,2,6000,1957
11469391,195000,3,1,5998,1949
11469598,207000,3,2,6695,1958
11444819,201000,3,2,3001,1945
11655904,250000,3,2,4356,1925
11656680,259900,3,1,3301,1950
11656809,249900,3,1,3301,1925
11656818,278000,3,2,3301,1925
